Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,Financials: Price Earnings Ratio Before Offering Percent,Financials: Price/Book Value Before Offer,Financials: Price/Book Value After Offer,Financials: EBITDA Before Offering Host Currency,New Issues Date Company Founded
154084731793,154084731793,1891005,UKC,BM,BM,2004-06-02,Pavilion Insurance Network PLC,4295894379,IPO,Live,United Kingdom,,,0.7,London AIM,Ordinary Or Common Shares,Vendor Placing|Placement,na,Financials,Insinger Townsley,UK Common Stock,0.05,-999.0,0.091,,,GB00B01FS767,16.673,389.895,1.85,0.3,1/1/1997 12:00:00 AM
154084731837,154084731837,1918420,UKC,BM,BM,2004-10-21,D1 Oils PLC,4295897875,IPO,Live,United Kingdom,2004-10-19,,13.0,London AIM,Ordinary Or Common Shares,Placement,na,Energy,Bell Lawrie White & Co,UK Common Stock,1.6,-999.0,2.923,,,,-50.232,,3.368,-1.3,1/1/2002 12:00:00 AM
154084731838,154084731838,1918424,UKC,BM,BM,2004-11-24,MicroEmissive Displays Group PLC,4295899136,IPO,Live,United Kingdom,2004-11-23,,14.650149,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Bell Lawrie White & Co,UK Common Stock,1.5,-999.0,2.803,,,GB00B0346S80,-7.724,-66.266,1.665,-4.4,
154084731910,154084731910,1857485,UKC,BM,BM,2004-03-02,Felix Group PLC,5000388003,IPO,Live,United Kingdom,2004-02-23,,0.497286,London AIM,Ordinary Or Common Shares,Firm Commitment,na,Consumer Cyclicals,Seymour Pierce Ltd,UK Common Stock,0.2,-999.0,,,,GB0034320191,,,,,
154084731965,154084731965,1875405,EC,BM,BM,2004-05-05,Dealogic Ltd,4295894305,IPO,Live,United Kingdom,2004-04-14,,24.398,London AIM,Ordinary Or Common Shares,Placement,3.50000,Industrials,Cazenove & Co,Euro & Foreign Common Stock,2.2,3.5,3.94,4.12,,GB00B00P3M73,,42.369,4.493,24.0,1/1/1983 12:00:00 AM
154084731968,154084731968,1883045,UKC,BM,BM,2004-05-14,Urban Dining PLC,4295897559,IPO,Live,United Kingdom,2004-05-14,,2.75,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,KBC Peel Hunt Ltd,UK Common Stock,0.5,-999.0,0.881,,,GB00B012XP08,,,,,
154084731978,154084731978,1874989,UKC,BM,BM,2004-04-07,Alltrue Investments Plc,4295894890,IPO,Live,United Kingdom,,,0.817,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,City Financial Associates Ltd,UK Common Stock,0.02,-999.0,0.036,,,GB0000112069,,,,,
154084732004,154084732004,1900332,UKC,BM,BM,2004-07-05,PD Ports PLC,4295896606,IPO,Live,United Kingdom,2004-07-05,,122.615,London AIM,Ordinary Or Common Shares,Accelerated Bookbuilt,na,Industrials,Collins Stewart Tullett Plc,UK Common Stock,1.0,-999.0,1.83,,,GB00B01QLW51,13.906,,,81.5,3/24/2004 12:00:00 AM
154084732028,154084732028,1898181,EC,BM|CM,BM|CM,2004-10-06,XL TechGroup Inc,4295901567,IPO,Live,United States,2004-09-24,,22.9999995,London AIM,Ordinary Or Common Shares,Placement,na,Healthcare,Altium Capital Limited,Euro & Foreign Common Stock,1.5,-999.0,2.67,,,USU984051008,-12.137,,5.015,-2.2,
154084732032,154084732032,1898215,UKC,BM,BM,2004-07-09,NCC Group PLC,4295897341,IPO,Live,United Kingdom,2004-06-27,,38.1991445,London AIM|London,Ordinary Or Common Shares,Placement,na,Technology,Dresdner Kleinwort Wasserstein,UK Common Stock,1.7,-999.0,0.526,,,GB00B01QGK86,645.722,,2.61,9.5,6/30/1999 12:00:00 AM
154084732068,154084732068,1912914,UKC,BM,BM,2004-09-27,Islamic Bank of Britain PLC,4295896540,IPO,Live,United Kingdom,2004-08-26,,40.0,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Keith Bayley Rogers,UK Common Stock,0.25,-999.0,0.452,,,GB00B02KNV97,-11.511,354.161,2.717,-11.4,9/1/2004 12:00:00 AM
154084732070,154084732070,1912918,EC,BM,BM,2004-09-06,Smart Telecom PLC,4295874989,IPO,Live,Ireland,2004-08-26,,10.00000005,London AIM,Ordinary Or Common Shares,Placement,na,Technology,Seymour Pierce Ltd,Euro & Foreign Common Stock,0.15,-999.0,0.266,,,IE0003824749,-4.802,,3.548,-7.6,1/1/2000 12:00:00 AM
154084732094,154084732094,1914727,UKC,BM,BM,2004-06-30,Plant Health Care PLC,4295897553,IPO,Live,United Kingdom,,,6.99999976,London AIM,Ordinary Shares,Placement,na,Basic Materials,Evolution Beeson Gregory Ltd,UK Common Stock,0.52,-999.0,0.862,,,GB00B01JC540,-23.765,,3.211,-0.9,
154084732162,154084732162,1875405,UKC,BM,BM,2004-05-05,Dealogic Ltd,4295894305,IPO,Live,United Kingdom,2004-04-26,,24.398,London AIM,Ordinary Or Common Shares,Placement,3.50000,Industrials,Cazenove & Co,UK Common Stock,2.2,3.5,3.94,4.12,,GB00B00P3M73,,461.607,4.493,24.0,1/1/1983 12:00:00 AM
154084732176,154084732176,1884843,UKC,BM,BM,2004-05-12,Local Radio Co PLC,4295897361,IPO,Live,United Kingdom,2004-05-12,,50.13881975,London AIM,Ordinary Or Common Shares,Accelerated Bookbuilt,na,Consumer Cyclicals,Bridgewell Securities Ltd,UK Common Stock,0.95,-999.0,1.687,,,GB00B0108C60,-6.869,,1.104,-9.2,10/31/2003 12:00:00 AM
154084732177,154084732177,1884845,UKC,BM,BM,2004-05-20,Michelmersh Brick Holdings PLC,4295896639,IPO,Live,United Kingdom,2004-05-12,,5.18,London AIM,Ordinary Or Common Shares,Placement,na,Basic Materials,Charles Stanley & Co Ltd,UK Common Stock,0.56,-999.0,0.995,,,GB00B013H060,6.679,,0.647,8.0,
154084732254,154084732254,1897077,UKC,BM,BM,2004-07-20,Zari Resources plc,4295893841,IPO,Live,United Kingdom,2004-07-20,,0.65,London AIM,Ordinary Or Common Shares,Placement,na,Basic Materials,Hichens Harrison,UK Common Stock,0.02,-999.0,0.037,,,GB00B01ZVX32,,,,,
154084732339,154084732339,1941683,UKC,BM,BM,2004-10-04,Pearl Street Holdings PLC,,IPO,Live,United Kingdom,2004-09-24,,0.249999975,London AIM,Ordinary Shares,Placement,na,Healthcare,Seymour Pierce Ellis Ltd,UK Common Stock,0.045,-999.0,,,,GB00B030M221,,,,,
154084732458,154084732458,1883712,UKC,BM,BM,2004-05-10,Orientrose 2 plc,4295897707,IPO,Live,United Kingdom,2004-05-13,,0.225,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Seymour Pierce Ltd,UK Common Stock,0.03,-999.0,0.053,0.959,0.435,GB00B012XW74,,,,,
154084732528,154084732528,1891125,UKC,BM,BM,2004-05-27,VANE Holdings PLC,4295896673,IPO,Live,United Kingdom,,,3.70500053,London AIM,Ordinary Or Common Shares,Placement,na,Basic Materials,Seymour Pierce Ltd,UK Common Stock,0.11,-999.0,20.21,,,GB00B013M672,-0.363,,1.104,-0.8,
154084732539,154084732539,1917577,UKC,BM,BM,2004-09-15,Lombard Risk Management PLC,4295899063,IPO,Live,United Kingdom,2004-09-15,,1.25,London AIM,Ordinary Shares,Accelerated Bookbuilt,na,Industrials,Noble & Co Ltd,UK Common Stock,0.08,-999.0,0.143,,,GB00B030JP46,,,,,1/1/1988 12:00:00 AM
154084732709,154084732709,1887553,UKC,BM,BM,2004-06-01,MKM Group PLC,4295897429,IPO,Live,United Kingdom,2004-05-20,,2.3999998,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,WH Ireland Ltd,UK Common Stock,0.44,-999.0,0.809,,,GB00B013MJ08,12.118,,8.115,1.4,1/1/1989 12:00:00 AM
154084732750,154084732750,1894100,UKC,BM,BM,2004-07-20,Evolutec Group PLC,4295899008,IPO,Live,United Kingdom,2004-06-14,,5.7,London AIM,Ordinary Or Common Shares,Placement,na,Technology,Collins Stewart Ltd,UK Common Stock,1.25,-999.0,2.315,,,GB00B01JLR99,-14.202,283.302,3.251,-1.7,
154084732753,154084732753,1894149,UKC,BM,BM,2004-06-25,Vectura Group Plc,4295898934,IPO,Live,United Kingdom,2004-06-15,,20.0722536,London AIM,Ordinary Or Common Shares,Placement,na,Healthcare,Nomura International PLC,UK Common Stock,0.56,-999.0,1.108,,,GB00B01D1K48,,,,,1/1/1997 12:00:00 AM
154084732846,154084732846,1943666,EC,BM,BM,2004-10-07,Orca Interactive Ltd,4295875227,IPO,Live,Israel,2004-09-29,,13.99999986,London AIM,Ordinary Shares,Offer for Sale,na,Technology,Altium Capital Limited,Euro & Foreign Common Stock,0.99,-999.0,1.764,,,IL0010913213,,,,,1/1/1996 12:00:00 AM
154084732859,154084732859,1864479,UKC,BM,BM,2004-03-25,AttentiV Systems Group plc,4295898998,IPO,Live,United Kingdom,2004-03-20,,33.3177867,London AIM,Ordinary Or Common Shares,Placement,na,Technology,Investec Investment Banking,UK Common Stock,0.55,-999.0,0.994,,,GB0034272863,,,,,
154084732872,154084732872,1857493,UKC,BM,BM,2004-02-23,Namibian Resources PLC,4295894563,IPO,Live,United Kingdom,2004-02-23,,1.99999995,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Basic Materials,Keith Bayley Rogers,UK Common Stock,0.15,-999.0,0.28,,,GB0034380625,,,,,
154084732877,154084732877,1857656,EC,BM,BM,2004-03-03,Skiddaw Capital Inc,,IPO,Live,Cayman Islands,2004-02-23,,1.2,London AIM,Ordinary Or Common Shares,Firm Commitment,na,Financials,Canaccord Capital (Europe) Ltd,Euro & Foreign Common Stock,0.06,-999.0,,,,,,,,,
154084732971,154084732971,1896429,UKC,BM,BM,2004-09-08,Transvision Resources Plc,4295897775,IPO,Live,United Kingdom,2004-09-08,,0.241994,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Noble & Co Ltd,UK Common Stock,0.01,-999.0,0.178,,,GB00B01R6233,,,,,
154084732989,154084732989,1889130,UKC,BM,BM,2004-06-03,Amino Technologies PLC,4295896938,IPO,Live,United Kingdom,2004-06-04,,6.9999996,London AIM,Ordinary Or Common Shares,Placement,na,Technology,KBC Peel Hunt Ltd,UK Common Stock,1.2,-999.0,2.208,,,GB00B013SN63,-16.308,,4.757,-7.7,
154084732990,154084732990,1889091,EC,BM,BM,2004-06-30,Norwood Immunology Ltd,4295894141,IPO,Live,Australia,2004-06-25,,5.852,London AIM,Ordinary Or Common Shares,Offer for Sale,na,Healthcare,KBC Peel Hunt Ltd,Euro & Foreign Common Stock,0.38,-999.0,0.691,0.737,,AU000A0CANX1,,,,,
154084732991,154084732991,1889134,UKC,BM,BM,2004-06-22,Brady PLC,4295894131,IPO,Live,United Kingdom,2004-06-18,,2.82525003,London AIM,Ordinary Or Common Shares,Placement,na,Technology,Oriel Securities Limited,UK Common Stock,0.81,-999.0,1.475,,,GB00B0188P35,36.245,,3.316,1.2,1/1/1985 12:00:00 AM
154084733105,154084733105,1869233,UKC,BM,BM,2004-07-08,M&C Saatchi PLC,4295894564,IPO,Live,United Kingdom,2004-06-28,,34.556835,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Lehman Brothers International,UK Common Stock,1.25,-999.0,2.32,,,GB00B01F7T14,,,,,1/1/1995 12:00:00 AM
154084733150,154084733150,1881094,EC,BM,BM,2004-05-20,Teleunit SpA,4295875811,IPO,Live,Italy,2004-05-20,,10.1488498,London AIM,Ordinary Or Common Shares,Placement,na,Technology,Daniel Stewart Securities Plc,Euro & Foreign Common Stock,0.2,-999.0,0.355,,,IT0003664080,,,,,
154084733204,154084733204,1879472,EC,BM,BM,2004-05-06,Solar Integrated Technologies Inc,4295899472,IPO,Live,United States,2004-05-07,,12.34183437,London AIM,Ordinary Or Common Shares,Placement,na,Technology,KBC Peel Hunt Ltd,Euro & Foreign Common Stock,1.71,-999.0,3.07,,,USU8340P1031,,,,,1/1/2002 12:00:00 AM
154084733212,154084733212,1900509,EC,BM,BM,2004-07-22,Zambezi Resources Ltd,4295897841,IPO,Live,Australia,2004-07-06,,2.50000008,London AIM,Ordinary Or Common Shares,Placement,na,Basic Materials,WH Ireland Ltd,Euro & Foreign Common Stock,0.12,-999.0,18.837,,,BMG988411028,,,,,
154084733214,154084733214,1900515,EC,BM,BM,2004-07-06,Hard Assets Inc,4295860421,IPO,Live,Canada,,,0.35,London AIM,Ordinary Or Common Shares,Firm Commitment,na,Basic Materials,Canaccord Capital (Europe) Ltd,Euro & Foreign Common Stock,0.05,-999.0,0.92,,,CA4116341088,,,,,
154084733218,154084733218,1900578,UKC,BM,BM,2004-07-15,ClearSpeed Technology PLC,4295894897,IPO,Live,United Kingdom,,,9.43271904,London AIM,Ordinary Or Common Shares,Placement,na,Technology,KBC Peel Hunt Ltd,UK Common Stock,0.96,-999.0,1.779,,,GB00B01TNC84,,,,,1/1/2001 12:00:00 AM
154084733232,154084733232,1893535,UKC,BM,BM,2004-06-18,Independent Media Support Group Plc,4295897754,IPO,Live,United Kingdom,2004-06-10,,5.99955,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Corporate Synergy PLC,UK Common Stock,0.575,-999.0,1.056,,,GB00B013YY96,124.308,381.44,2.609,0.6,
154084733238,154084733238,1893611,UKC,BM,BM,2004-06-18,IP Live Plc,4295894198,IPO,Live,United Kingdom,2004-06-10,,0.999999925,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Corporate Synergy PLC,UK Common Stock,0.425,-999.0,0.78,,,GB00B01J2S79,,,,,
154084733240,154084733240,1901935,WC,BM,BM,2004-07-12,Immunodiagnostic Systems Holdings PLC,4295894323,IPO,Cancelled,United Kingdom,2004-12-23,,,London AIM,Ordinary Or Common Shares,Placement,na,Healthcare,Teather & Greenwood Ltd,US Common Stock Withdrawn From Registration,,-999.0,,,,GB0002168747,,,,0.6,1/1/1977 12:00:00 AM
154084733241,154084733241,1901937,UKC,BM,BM,2004-07-20,Disperse Technologies Group Plc,4295897834,IPO,Live,United Kingdom,2004-07-23,,4.66705998,London AIM,Ordinary Or Common Shares,Placement|Offer for Subscription,na,Consumer Non-Cyclicals,JM Finn & Co,UK Common Stock,0.18,-999.0,0.333,,,GB0001786069,-11.224,219.778,1.503,-2.2,
154084733261,154084733261,1899623,UKC,BM,BM,2004-06-30,Ragusa Capital Plc,4298040481,IPO,Live,United Kingdom,2004-07-14,,5.54317938,London AIM,Ordinary Or Common Shares,Placement,na,Financials,City Financial Associates Ltd,UK Common Stock,0.54,-999.0,1.457,,,GB00B01RNH73,,,,,
154084733317,154084733317,1915028,UKC,BM,BM,2004-10-14,smartFOCUS Group PLC,4295896638,IPO,Live,United Kingdom,2004-10-15,,1.600000038,London AIM,Ordinary Shares,Placement,na,Technology,Arbuthnot Securities Ltd,UK Common Stock,0.099,-999.0,0.177,,,GB00B02RFJ21,-18.668,,-28.34,-0.7,
154084733368,154084733368,1861848,UKC,BM,BM,2004-03-05,Nadlan PLC,4295894430,IPO,Live,United Kingdom,2004-03-05,,0.699224,London AIM,Ordinary Or Common Shares,Firm Commitment,na,Industrials,John East & Partners Ltd,UK Common Stock,0.05,-999.0,0.092,,,GB00B00CP556,,,,,1/1/2004 12:00:00 AM
154084733448,154084733448,1883841,UKC,BM,BM,2004-05-18,Wynnstay Group PLC,4295899075,IPO,Live,United Kingdom,2004-05-07,,1.50005,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Non-Cyclicals,WH Ireland Ltd,UK Common Stock,1.9,-999.0,3.36,,,GB0034212331,,0.992,0.738,4.9,1/1/1918 12:00:00 AM
154084733449,154084733449,1877883,EC,BM|CM|GL,BM|CM,2004-05-07,Pinewood Shepperton PLC,4295899004,IPO,Live,United Kingdom,2004-04-21,,75.0990474,London AIM,Ordinary Or Common Shares,Placement,3.25000,Consumer Cyclicals,Cazenove & Co,Euro & Foreign Common Stock,1.8,3.25,3.216,3.583,,GB0006660715,,107.952,,24.1,
154084733497,154084733497,1890533,UKC,BM,BM,2004-07-14,Meridian Petroleum Plc,4295897793,IPO,Live,United Kingdom,2004-07-05,,1.80093,London AIM,Ordinary Or Common Shares,Placement,na,Energy,WH Ireland Ltd,UK Common Stock,0.3,-999.0,2.252,,,GB00B01D7F15,,,,,
154084733508,154084733508,1902842,UKC,BM,BM,2004-08-05,Printing.com Plc,4295894700,IPO,Live,United Kingdom,2004-07-16,,1.1499999,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Brewin Dolphin Securities Ltd,UK Common Stock,0.3,-999.0,0.532,,,GB0009638130,21.278,17.844,2.705,3.5,
154084733522,154084733522,1913348,EC,BM,BM,2004-09-01,Frontier Mining Ltd,4295899017,IPO,Live,United Kingdom,2004-08-27,,3.5000001,London AIM,Ordinary Or Common Shares,Placement,na,Basic Materials,Numis Securities Ltd,Euro & Foreign Common Stock,0.15,-999.0,0.27,,,USU314441093,-15.535,,3.736,-0.2,8/5/1998 12:00:00 AM
154084733539,154084733539,1910151,UKC,BM,BM,2004-08-20,Mediasurface PLC,4295896417,IPO,Live,United Kingdom,,,1.99999992,London AIM,Ordinary Or Common Shares,Placement,na,Technology,KBC Peel Hunt Ltd,UK Common Stock,0.12,-999.0,0.218,,,GB00B01XYM75,-6.972,629.3,6.322,-3.6,4/1/1996 12:00:00 AM
154084733540,154084733540,1910158,UKC,BM,BM,2004-08-23,Spice PLC,4295894391,IPO,Live,United Kingdom,2004-08-23,,23.3999999,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,KBC Peel Hunt Ltd,UK Common Stock,1.15,-999.0,0.415,,,GB00B01YR877,,,,,1/1/1996 12:00:00 AM
154084733663,154084733663,1886092,UKC,BM,BM,2004-05-28,Hambledon Mining PLC,4295897379,IPO,Live,United Kingdom,2004-05-17,,2.5,London AIM,Ordinary Or Common Shares,Placement,na,Basic Materials,Seymour Pierce Ltd,UK Common Stock,0.05,-999.0,8.438,,,GB00B015PT76,,,,,1/1/1997 12:00:00 AM
154084733667,154084733667,1886100,UKC,BM,BM,2004-06-07,ATH Resources Plc,4295894704,IPO,Live,United Kingdom,2004-05-17,,22.49999912,London AIM,Ordinary Or Common Shares,Placement,na,Energy,Seymour Pierce Ltd,UK Common Stock,1.36,-999.0,2.485,,,GB00B013H730,,,,,1/1/1998 12:00:00 AM
154084733730,154084733730,1901453,UKC,BM,BM,2004-07-22,Smallbone PLC,4295899020,IPO,Live,United Kingdom,2004-07-09,,3.38409368,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,City Financial Associates Ltd,UK Common Stock,0.59,-999.0,1.088,,,GB00B01ZXV57,,,,,1/1/2001 12:00:00 AM
154084733757,154084733757,1891443,UKC,BM,BM,2004-06-10,Biofuels Corporation Plc,5000005143,IPO,Live,United Kingdom,2004-06-03,,15.0,London AIM,Ordinary Or Common Shares,Placement,na,Energy,Collins Stewart Tullett Plc,UK Common Stock,0.75,-999.0,1.38,,,GB00B00VD693,-67.68,,5.505,-1.0,
154084733779,154084733779,1945274,UKC,BM,BM,2005-09-23,i-mate Plc,4295897649,IPO,Live,United Kingdom,,,49.4635134,London AIM,Ordinary Or Common Shares,Offer for Sale,3.75000,Technology,JP Morgan Cazenove,UK Common Stock,2.1,3.75,3.727,4.34,,GB00B0J0C046,31.537,,,15.0,
154084733897,154084733897,1877028,UKC,BM,BM,2004-04-19,Aurum Mining Plc,4295896474,IPO,Live,United Kingdom,,,1.49999983,London AIM,Ordinary Or Common Shares,Placement,na,Basic Materials,WH Ireland Ltd,UK Common Stock,0.47,-999.0,0.636,,,GB00B00T3528,,,,,
154084733954,154084733954,1892749,UKC,BM,BM,2004-07-08,Playgolf(Holdings)PLC,4295896929,IPO,Live,United Kingdom,2004-06-08,,2.5098996,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Daniel Stewart Securities Plc,UK Common Stock,0.167,-999.0,0.309,,,GB00B01GB928,,,,,
154084733957,154084733957,1892819,UKC,BM,BM,2004-07-02,Monkleigh plc,4295897872,IPO,Live,United Kingdom,2004-06-28,,0.425,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Corporate Synergy PLC,UK Common Stock,0.1,-999.0,0.183,,,GB00B01DS929,,,,,
154084734022,154084734022,1909146,UKC,BM,BM,2004-08-10,Formjet PLC,4295894252,IPO,Live,United Kingdom,2004-08-10,,1.20000028,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Daniel Stewart Securities Plc,UK Common Stock,0.073,-999.0,2.648,,,GB00B02H6W22,331.017,,3.43,0.0,10/1/2003 12:00:00 AM
154084734047,154084734047,1919212,UKC,BM,BM,2004-10-05,Sareum Holdings PLC,4295896435,IPO,Live,United Kingdom,2004-09-22,,2.0,London AIM,Ordinary Or Common Shares,Placement,na,Healthcare,Seymour Pierce Ellis Ltd,UK Common Stock,0.02,-999.0,1.781,,,GB00B02RFS12,-1.153,,5.242,-0.2,8/1/2003 12:00:00 AM
154084734080,154084734080,1944233,UKC,BM,BM,2004-10-08,VASTox PLC,5076940644,IPO,Live,United Kingdom,2004-10-11,,14.99999985,London AIM,Ordinary Or Common Shares,Placement,na,Healthcare,KBC Peel Hunt Ltd,UK Common Stock,1.35,-999.0,44.992,,,GB00B02T3K57,-28.169,,2.86,-0.1,
154084734157,154084734157,1887130,UKC,BM,BM,2004-05-14,Metrocapital PLC,4295894246,IPO,Live,United Kingdom,2004-05-19,,0.09999999,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Seymour Pierce Ellis Ltd,UK Common Stock,0.03,-999.0,0.052,,,GB00B012XS39,,,,,
154084734218,154084734218,1889569,UKC,BM,BM,2004-05-26,Multimedia Television PLC,4295894311,IPO,Live,United Kingdom,2004-05-26,,2.49999996,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Industrials,JM Finn & Co,UK Common Stock,0.12,-999.0,0.217,,,GB0033711127,,-274.249,,-2.7,4/22/1998 12:00:00 AM
154084734245,154084734245,1895555,UKC,BM,BM,2004-06-18,Fitzwilliam Capital Plc,4295897918,IPO,Live,United Kingdom,,,0.50000022,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Davy,UK Common Stock,0.46,-999.0,0.84,,,GB00B01D7L74,,,,,
154084734295,154084734295,1915040,UKC,BM,BM,2004-09-06,Crucial Plan PLC,4295897627,IPO,Live,United Kingdom,2004-09-06,,0.3,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,WH Ireland Ltd,UK Common Stock,0.24,-999.0,0.427,,,GB00B02T6Z16,,,,,
154084734303,154084734303,1915172,UKC,BM,BM,2004-10-08,Delling Group PLC,4295898973,IPO,Live,United Kingdom,2004-10-11,,2.20999982,London AIM,Ordinary Shares,Placement,na,Consumer Cyclicals,Keith Bayley Rogers,UK Common Stock,0.14,-999.0,0.251,,,GB00B034QT98,,,,,4/1/2004 12:00:00 AM
154084734339,154084734339,1858087,UKC,BM,BM,2004-03-01,Interactive Gaming Holdings PLC,4295897840,IPO,Live,United Kingdom,2004-02-24,,0.25,London AIM,Ordinary Or Common Shares,Firm Commitment,na,Consumer Cyclicals,Insinger Townsley,UK Common Stock,0.05,-999.0,0.093,,,GB0034347921,-12.985,12.944,2.876,-0.1,
154084734373,154084734373,1885415,UKC,BM,BM,2004-05-13,Hightower Construction PLC,5044201624,IPO,Live,United Kingdom,2004-05-13,,0.5,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Industrials,WH Ireland Ltd,UK Common Stock,0.05,-999.0,,,,GB00B012H252,,,,,
154084734396,154084734396,1877883,UKC,BM|CM|GL,BM|CM,2004-05-07,Pinewood Shepperton PLC,4295899004,IPO,Live,United Kingdom,2004-04-21,,75.0990474,London AIM,Ordinary Or Common Shares,Placement,3.25000,Consumer Cyclicals,Cazenove & Co,UK Common Stock,1.8,3.25,3.216,3.583,,GB0006660715,,4053.537,,24.1,
154084734437,154084734437,1900825,UKC,BM,BM,2004-10-25,Isis Medical Techology Plc,4295899045,IPO,Live,United Kingdom,2004-07-06,,0.205294,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Noble & Co Ltd,UK Common Stock,0.01,-999.0,0.184,,,GB00B01R5X72,,,,,
154084734440,154084734440,1900836,UKC,BM,BM,2004-07-26,Nipson Digital Printing Systems PLC,4295899039,IPO,Live,United Kingdom,2004-07-23,,10.0001398,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Teather & Greenwood Ltd,UK Common Stock,0.7,-999.0,1.288,,,GB00B01QLJ25,-9.799,,3.444,-3.9,1/1/1992 12:00:00 AM
154084734453,154084734453,1878886,EC,BM,BM,2004-05-14,ITM Power Plc,4295894149,IPO,Live,United Kingdom,2004-04-23,,10.0,London AIM,Ordinary Or Common Shares,Placement,na,Energy,Durlacher & Co,Euro & Foreign Common Stock,0.5,-999.0,0.847,,,GB00B0130H42,-64.321,,4.989,-1.1,
154084734458,154084734458,1893866,UKC,BM,BM,2004-06-25,Prologic PLC,4295897764,IPO,Live,United Kingdom,2004-06-11,,3.1999995,London AIM,Ordinary Or Common Shares,Placement,na,Technology,WH Ireland Ltd,UK Common Stock,0.75,-999.0,1.369,,,GB00B01JDH34,,,,,1/1/1984 12:00:00 AM
154084734472,154084734472,1902244,EC,BM,BM,2004-07-22,Norman 95 SpA,4295875834,IPO,Live,Italy,2004-07-14,,5.553,London AIM,Ordinary Or Common Shares,Placement,na,Real Estate,Durlacher & Co,Euro & Foreign Common Stock,0.9,-999.0,1.103,,,IT0003692768,16.488,,,11.6,
154084734489,154084734489,1900168,UKC,BM,BM,2004-07-14,Hamworthy PLC,4295894211,IPO,Live,United Kingdom,2004-07-03,,40.33,London AIM,Ordinary Or Common Shares,Accelerated Bookbuilt,na,Industrials,Collins Stewart Tullett Plc,UK Common Stock,1.09,-999.0,2.023,,,GB00B01VFV79,,,,,1/1/1911 12:00:00 AM
154084734547,154084734547,1907915,UKC,BM,BM,2004-08-17,Vert-Eco Group PLC,4295894569,IPO,Live,United Kingdom,2004-08-17,,3.0,London AIM,Ordinary Or Common Shares,Placement,na,Financials,Durlacher & Co,UK Common Stock,0.05,-999.0,9.076,,,GB00B02FJF09,,,,,
154084734551,154084734551,1912055,UKC,BM,BM,2004-08-13,Business Direct Group PLC,4295897866,IPO,Live,United Kingdom,2004-08-13,,3.497,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,JM Finn & Co,UK Common Stock,0.5,-999.0,0.922,,,GB00B02KK416,-43.293,,7.064,-0.4,1/1/1993 12:00:00 AM
154084734553,154084734553,1912081,UKC,BM,BM,2004-08-27,Leisure & Gaming PLC,4295894238,IPO,Live,United Kingdom,2004-08-16,,0.4,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Corporate Synergy PLC,UK Common Stock,0.1,-999.0,0.044,,,GB00B02JK590,,,,,8/10/2004 12:00:00 AM
154084734554,154084734554,1912091,EC,BM,BM,2004-09-02,Gulf Keystone Petroleum Ltd,4295859627,IPO,Live,Bermuda,2004-08-23,,60.0,London AIM,Ordinary Or Common Shares,Placement,na,Energy,Evolution Beeson Gregory Ltd,Euro & Foreign Common Stock,0.48,-999.0,36.823,,,BMG4209G1087,-1.334,,1.705,-3.8,1/1/2001 12:00:00 AM
